"","language","n"
"1","Welsh",20
"2","Vietnamese",2
"3","Urdu",6
"4","Ukrainian",14
"5","Turkish",169
"6","Thai",18
"7","Tamil",3
"8","Tagalog",62
"9","Swedish",3
"10","Spanish; Castilian",2307
"11","Slovenian",4
"12","Russian",86
"13","Romanian; Moldavian; Moldovan",36
"14","Portuguese",1941
"15","Polish",60
"16","Persian",30
"17","Norwegian",4
"18","Marathi",1
"19","Malayalam",2
"20","Lithuanian",6
"21","Korean",6
"22","Japanese",320
"23","Italian",256
"24","Icelandic",1
"25","Hungarian",17
"26","Hindi",20
"27","Haitian; Haitian Creole",14
"28","Greek, Modern (1453-)",3
"29","German",138
"30","French",698
"31","Finnish",13
"32","Estonian",18
"33","English",11439
"34","Dutch; Flemish",16
"35","Danish",9
"36","Czech",4
"37","Chinese",5
"38","Catalan; Valencian",20
"39","Bulgarian",1
"40","Basque",3
"41","Arabic",151
